docID,length,text
11,58,"Wax ka ogow shan waxyaabood oo sababa dhalmo la'aanta ragga. Rag badan ayaa iska aamusa marka ay la kulmaan xaalado ay ka mid yihiin awood la'aanta ah in aysan carruur dhali karin ama gudashada waajibaadka ay ku leedahay xaaskiisa Marka ay sidan dhacdo, qaar badan ayaa eedda iska wareejiya oo aan dooneyn inay arrintaas ka hadlaan..."
12,62,Koonfur Afrika oo mamnuucaysa libaaxyada beeraha gaarka ah lagu haysto. Koonfur Afrika ayaa shaacisay qorshe ay doonayso in lagu joojiyo bacriminta lagu tarminayo libaaxa si ay u suurto gasho in la ugaadhsado ama ay dalxiiseyaashu cagabaruurka u gurtaan Qorshahan ayaa soo baxay ka dib markii la faafiyey natiijada daraasad socotay laba sannadood oo lagu baadhayey qaabkan bacriminta libaaxa la doonayo in beero gaar ah lagu haysto...
13,97,"Kabo dhiigga bani'aadanka lagu sameeyay oo muran adag ka dhaliyay caalamka. Shirkadda kabaka iyo dharka soo saarta ee Nike ayaa maxkamad la tiigsaneysa shirkad kale oo kabaha dib u farsameysa, oo lagu magacaabo MSCHF, kaddib markii uu muran xoog leh ka dhashay kabo la dhalan rogay oo laga dhigay wax lagu sheegay ""kabo sheydaan"" kuwaasoo ka kooban dhibco dhiig bani'aadan oo run ah oo qeybta hoose lagu dhex sameeyay Kabahan oo nooca jimicsiga lagu sameeyo ah ayaa hoos looga qoray erayga ""Luke 10:18"", iyadoo la isticmaalay kabaha Nike ee noocoodu yahay Air Max 97s..."
14,83,Manchester City oo heshay fursad u horseeday kaalin muhiim ah. Kooxda kubadda cagta ee Manchester City ayaa ka faa'ideystay barbardhaca dhexmaray Man United iyo Liverpool iyadoo kaalinta labaad ku soo gashay guul muhiim ah oo ay xalay ka gaartay kooxda Crystal Palace oo ku soo booqatay garoonkeeda Etihad Stadium Man City oo guushan ay uga dhigan tahay tii shanaad oo xiriir ah oo kulamada Permier League-ga iyo tii 15-aad dhamaan kulamada ayaa waxaa goolka koowaad u dhaliyey John Stones halka kan labaad qaybtii labaad u saxiixay Ilkay Gundogan...
15,84,"Waxaan hadda Imaam ka ahay Misaajidkii aan mar doonayay in aan ku xasuuqo Muslimiin badan"". Qisada Richard McKinney oo ah nin u dhashay dalka Mareykanka ayaa soo jiidatay dad badan oo caalamka ku nool, kuwaas oo aad ula dhacay qaabka uu isu badelay fikirkiisa iyo noolasha ninkan Richard McKinney oo horay uga tirsanaa ciidanka gaarka ah ee Mareykanka ee loo yaqaano Marines-ka, kana soo dagaalamay bariga dhexe ayaa dagaaladii uu soo galay waxa ay ku dhalisay in uu naceyb u qaado dadka heysta diinta Islaamka..."
16,91,"Nin dhallinyaro Soomaali ah oo jaamici ah , shaahana iibiya.. Inta badan dadka wax barta ee jaamacadaha ka qallin jabiya waxaa ay raadiyaan shaqo ay ku kaafiyaan noolashooda, balse Ibraahim Saransoor oo ah nin dhallinyaro ah oo ku nool magaalada Mandera ee dalka Kenya waa uu ku dhaqaaqay arrin dhif iyo naadir ah oo ay adag tahay in agu arko deegaanada Soomaalida Ibraahim oo haysta shaaahadada koowaad jaamacadda , bartayna culluunta horumarinta ayaa sheegay in u lasoo shaqeeyay hey'ado caalami ah, kuwaas oo uu usoo qabtay shaqooyin badan oo ay kamid tahay horumarinta ganacsiyada yaryar..."
17,55,"Waa kuma Jilaagii caanka ah ee geeriyooday?. Jilaagi caanka ahaa ee Sir Sean Connery oo loo yaqiinnay James Bond ee geeriyooday da'diisu waxay ahayd 90 jir Jilaagan geeriyooday oo ka soo jeeda Scotland wuxuu filimaanta uu ku jili jiray magaca jilliinka ee James Bond, wuxuuna si aad ah uu ugu soo caan baxay filimki sirdoonka ee la magac baxay 007..."
18,49,Wadaadka lacagaha madax furashada u kala gudbiya burcadda iyo dadka. Waxaa soo ifbaxay wadaad caan ah oo Muslim ah oo si iskiis ah isugu xilqaamay inuu u kala dabqaado kooxaha wax afdubta ee madax-furashada qaata ee waqooyiga Nigeria Muddooyiinkii u dambeeyay waqooyiga Nigeria waxaa lagu afduubay 800 oo arday ah...
19,55,Koonfur Afrika oo xuduudeeda furaysa halistii safmarka oon hoos u dhicin. Koonfur Afrika ayaa sheegtay in ay Isniinta dib u furi doono 20 goobood oo ku yaal xadka ay la leedahay dalalka jaarka ah oo bishii hore loo xidhay si looga hor tago fiditaanka fayraska korona Go'aanka waxa lagu gaadhay shirkii golaha wasiirada ee Sabtidii...
20,49,"W﻿axyaabo sir ah oo laga yaabo in aadan ka ogayn dhiiggaaga. Daqiiqad walba, unug kasta oo dhiigga cas ah waxaa uu ku soo wareegtaa madaxa ilaa faraha jirkeenna, wuxuuna dhammaystiraa habka wareegga dhiigga ee jirka Jirkeenna waxaa uu il-biriqsi kasta soo saaraa labo milyan oo unugyada cas cas ah"
21,51,Haweeneey taratan cunto cunis ku jirtay oo geeriyootay. Haweeneey u dhalatay dalkaasi Australia oo ka qeyb qaadaneysay tartan cunto cunis ah kaasi oo aan xad lahayn ayaa sababay iney markii dambe suuxdo oo ay nafteeda ku weyso Haweeneeyda iyo tartameyaasha kale oo ku tartarmayay cunista keegga ama doolashada ayaa markii hore la soo duubay
22,48,Madaxweyne Trump oo Iran u mahadceliyay. Madaxweyne Trump ayaa Iran uga mahadceliyay siideynta muwaadin reer Mareykanka ah oo Iran muddo laba sannadood ka badan u xirnaa Qoraal uu barta Twitter-ka soo dhigay ayuu Trump ku sheegay in siideyntii askariga ka tirsan ciidamada badda Mareykanka ay muujinaysa inuu meel maray heshiiskii isweydaarsiga maxaabiista
23,92,"Haweeney lagala noqonayo guri ay ku iibsatay $20 malyan oo doolar. Haweney sharrixi weysay halka ay ka keentay lacag £16 malyan oo gini ah, oo u dhiganta $20 malyan oo doolar, taasoo ay guri weyn uga iibsatay magaalada London, ayaa ku guul dareysatay racfaan ay ka qaadatay go'aan ay dowladda ugala noqotay gurigaas Maxkamadda Racfaanka ayaa ku gacan seyrtay isku daygii ay Zamira Hajiyeva ku dooneysay inay dowladda UK loollan ku galiso hantideeda lagala noqday, maadaama aysan waligeed sharraxaad ka bixinin halka ay dhaqaalahaas ka tabacday iyo sida ay ku heshay toona..."
24,64,"Sheekh Xasan Yimar: Nin Muslim ah oo dib u dhis ku sameeyay Kaniisad Itoobiya ku taalla oo duntay xilligii Axmed Gurey. Sheekh Xasan Yimar waa nin haysta diinta islaamka oo Salaada tukada, Sooma masaajidkana si weyn ugu xiran oo diintiisa si buuxda ugu dhaqmo Munaasabadaha ciidda islaamka, sida Carafada, Soon-furka iyo Mowliidka, ayuu sanad walba Musliinta u qabtaan si ay u dabaaldegaan..."
25,82,"Madhulika Singh: Waa tuma haweeneydan badbaadisay dad badan oo Muslimiin ah?. Madhulika Singh waa haweeney Hindu ah oo ku nool magaalada Karauli ee dalka Hindiya, waxay ka qeyb qaadatay badbaadinta dad badan oo Muslimiin ah xilli ay rabshado ka dhaceen halkaas horraantii bishan Fidnimadii 2-dii bisha April xilli ay socotay munaasbad ay lahaayeen shacabka Hinduuga, waxaa magaalada ku faafay rabshado, waxaana dab la qabadsiiyay xarumo, dhagxaan ayay dadka isku tuurayeen, waxaana rabshadahan ka dhashay isbuurasho, Rabashadahan ayaa u dhexeeyay bulshada muslimiinta iyo kuwa hinduuga..."
26,91,"Idaacadda Qur'aanka Kariimka: Maxay tahay sheekada majaajilaystaha lagu eedeeyay inuu idaacaddaas liiday?. Dadka isticmaala baraha ay bulshada ku wada xiriiraan ee Masar waxa ay weerrar culus ku qaadeen majaajilayste u dhashay dalkaas oo lagu magacaabo Maxamed Ashraf, kaddib markii uu baahay muuqaal lagu eedaynayo inuu liidayo oo uu wax u dhimayo Idaacadda Quraanka Kariimka Dadka isticmaala barta Twitter-ka waxa ay sameeyeen hal ku dhig ay ugu magac dareen '#Taageer_Idaacadda_Qur'aanka_Kariimka' kaas oo Masar ka noqday midka ugu badan ee ay dadku hadalhayaan oo misana soo jiitay in ka badan 13 kun oo farriimood..."
27,55,Shacabka magaalada Lake Jackson waxaa looga digay iney cabbin biyaha tuubbada. Shacabka magaalada Lake Jackson ee gobolka Texas ayaa looga digay iney cabbin biyaha qasabadda ama tuubbada kaddib marki biyaha ay shacabku cabbaan lagu arkay baakteeriya il ma aragta ah oo maskaxda qofka cuni kara Baaritaan lagu sameeyey biyaha qasabadda ama tuubbada laga cabbo ee magaalada Lake Jackson ayaa lagu ogaaday iney biyuhu la socdaan baakteeriya maskaxda cuni kara oo u baahan iney shacabku aad uga taxaddaraan...
28,103,"Ninkii diyaaradda soo xaday si uu xaaskiisa ula kulmo. Muddo labo sano ah, wariyaha BBC-da ee lagu magacaabo Emma Jane Kirby ayaa baaritaan ku heysay sheeko ku saabsan Xiddigle Paul Meyer, oo ah farsamayaqaan Mareykanka u dashay, oo la waayay raqdiisa iyo ruuxiisaba, kaasoo diyaarad ka xaday ciidamada cirka ee Mareykanka, xilli ay England ku sugnaayeen sanadkii 1969-kii, wuxuuna diyaaraddaas u duuliyay gobolka Virginia, isagoo ujeeddadiisu ay ahayd inuu la kulmo xaaskiisa Mr Meyer, oo xubin ka ahaa ciidamada cirka ee Mareykanka, marka uu diyaaradda la baxsanayay wuxuu ahaa nin aroos cusub ah oo xaaskiisa ay waqti dhow aqal galeen"
29,53,Farriinta lagu sheegay inuu diyaaradda bam ku xiran yahay waxaa laga helay suuliga diyaaradda.. Diyaaradda sida degdegga ah ku soo cagadhigatay waxay ka soo kicitintay Krakow iyada oo ku sii jeedday magaalada Dublin Diyaaradda oo ay leedahay shirkadda RynaAir aya duullimaadkeedi si degdeg ah u joojisay kaddib marki suuliga diyaaradda laga helay farriin sheegeysa in diyaarad bam uu ku xiran yahay
30,100,"Olole loogu doodayo gabadh Soomaali ah oo la sheegay in si ""cunsurinimo"" ah loo dilay. Bulshada ku nool Bury, Lancashire iyo dhamaan gudaha Ingiriiska ayaa dalbanaya in xildhibaan James Frith iyo guddiga waxbarashada ee Bury, Lancashire ay baaran guddiga maamulka iskuulka Oak oo lagu eedaynayo inay ka soo bixi waayeen masuuliyadda ka saarnayd ardayda iyo inay ka hadli waayeen dhacdadaan oo la aaminsanyahay inay ka dambeeyeen kuwa dhibaatayna qayba ka mid ah ardayda Codsigaan ayaa imaanaya kaddib markii gabadh Soomaali ah oo 12 sano jira ah laguna magacaabo Shukri Yahya Abdi ay webi ku yaala magaalada Manchester ee dalka Ingiriiska ku geeriyootay."
31,67,"Rabshadihii Capitol: Trump oo digniin kasoo saaray xil ka qaadista loo qalqaalinayo. Madaxweynaha Mareykanka, Donald Trump, ayaa maanta oo Talaado ah sheegay in khudbaddii uu jeediyay isbuucii lasoo dhaafay, ka hor rabshadihii Capitol ee dhimashada sababay, ay ahayd mid ""gabi ahaanba sax ahayd"" Mr Trump ayaa xilligaas taageerayaashiisa ka dalbaday in ay mudaharaad ku aadaan xarunta golaha Wakiillada ee Congress-ka."
32,64,Awoodda ciidan ee Ruushka iyo Shiinaha: Muxuu Mareykanka shirkadahan militari ugu daray diiwaanka madow?. Mareykanka ayaa xayiraado wax dhoofinta ah dul dhigay in ka badan 100 shirkadi isugu jira Shiiness iyo kuwo Ruush ah oo la sheegay inay xiriir la leeyihiin milatariga Dadka Mareykanka ah ee wax dhoofiya ayaa laga doonayaa inay helaan leysin kahor inta aysan alaabo u dirin shirkadaha ku jira Diiwaanka-madow.
33,86,"Somaliland oo su'aal gelisay mustaqbalka wadahadallada Soomaaliya. Golaha wakiillada Somaliland ayaa si weyn u soo dhaweeyey booqashada uu madaxweyne Biixi uu ku tagay dalka Guinea, wuxuuna goluhu shaki ka muujiyey inuu sii socon karo wadahadalladi Somalia iyo Somaliland u dhaxeeyey Guddoomiye ku xigeenka Golaha Wakiillada Somaliland Axmedyaasiin Sheekh Cali Ayaanle, ayaa kulanka maanta golaha uu yeeshay uga warramay BBC-da, isaga oo si gaar ah shiishka u saaray hadalka ka soo yeedhay Dowladda Soomaaliya oo 24-kii saac ee u dambeeyey warbaahinta si weyn u dhex marayey."
34,59,"Sarkaalkii caddaanka ahaa ee toogtay Jacob Blake ""oo aan waxba loo heysan"". Sarkaal boolis ah laguma eedeyn doono toogashadii Jacob Blake loogu geystay Kenosha, Wisconsin - oo ahayd dhacdo sababtay dibadbaxyo ka dhacay Mareykanka Mr Blake ayaa ka curyaamay qeybta hoose ee jirkiisa kaddib markii dhowr jeer laga toogtay dhabarka xilli uu sii galayay gaarigiisa oo ay saarnaayeen saddexdiisa carruurta ah..."
35,80,"Madaxweynaha Kenya, Uhuru Kenyatta, oo fasax dheer qaatay. Madaxweynaha waddanka Kenya, Uhuru Kenyatta, ayaa gali doona fasax hal bil ah oo uu uga nasan doono howlaha dowladda islamarka lasoo gabagabeeyo xuska munaasabadda maalinta xorriyadda, oo ku beegan 12-ka bishan December Wasaaradda Arrimaha Dibadda ee Kenya ayaa warqad ay u dirtay xafiisyada diblomaasiyadeed ee safaaradaha dalalka dibadda ay ku leeyihiin magaalada caasimadda ah ee Nairobi iyo hay'adaha caalamiga ah, taasoo ay ugu sheegtay in Mr Kenyatta uu nasiino gali doono."
36,57,"Dayax gacmeedki dunida ugu awoodda badnaa oo tijaabadiisa lagu guuleystay. NASA ayaa si buuxda ugu guuleysatay tijaabada matoorka dayax gacmeed dunida ugu awoodda badan oo la sameeyey, waxaana tijaabada lagu sameeyey xaruunta dayax gacmeedka hawada sare looga diro ee NASA Matoorka ayaa daarnaa ama shidnaa muddo 8 daqiiqo ah taasoo u dhiganta qayaasta dayax gacmeedka uu ku tagi karo masaafada u dhaxeyso dhulka iyo hawada sare."
37,64,"Mid ka mid ah ciyaartoyda kooxda Manchester United 'oo dambi galay'. Kooxda Manchester United ayaa la hadli doonta difaacooda Marcos Rojo, kaddib markii la shaaciyay inuu ku xadgudbay shuruucda xayiraadaha coronavirus ee dalkiisa Argenitina Sawirro muujinaya Rojo oo sigaar cabaya, saaxiibbadiisna kula ciyaaraya bannaaka ayaa lagu shaaciyay baraha xiriirka bulshada, waxayna qabsadeen hadal heynta inta badan dadka ciyaaraha daneeya, iyagoo eedeymo kala dul dhacay ciyaaryahanka"
38,78,"Maxaad ka taqaanaa xayawaanada qeybta ka ah koobka Afrika ee AFCON?. Koobka kubbadda cagta Afrika ayaa ka soconaya dalka Masar, waxaana ka qeybgalaya 24 dal, dhammaantoodna waxa ay leeyihiin astaamo kala duwan oo durba lagu kala garan karo iyo magacyo naanays ah Naanaysta waa arrin muhiim u ah dadka Afrikaanka ah, gaar ahaan kubbadda cagta dadka ku hawlan, mana ahan oo kaliya in dadka taageerayaasha ah ay ku aqoonsanayaan, ee sidoo kale waxa ay dhiirogalin u tahay ciyaartooyda laftooda"
39,120,"Madaxweyne Trump oo Biden ka hor taagan farriimo muhiim ah oo loo soo mariyay. Xilli dalka Mareykanka uu ka taagan yahay khilaaf la xiriira doorashada madaxweynaha la doortay ee Mareykanka, Joe Biden, Trump-na uu diiday in uu aqabalo natiijada doorashada iyo in lagaga guuleystay ayaa waxaa uu jahwareer iyo culeys ka taagan yahay marxaladda kala guurka iyo sidii madaxweynaha la doortay uu kooxda kala guurka uga la shaqeyn lahaa xil wareejinta Wasaaradda arrimaha dibadda ee Mareykanka, oo dalkaas u qaabilsan xiriirka ama la macaamilka hogaamiyeyaasha kale ee caalamka iyo xiriirka dibadda, ayaa qaar kamid ah warbaahinta Mareykanka waxay kusoo warrameen in madaxweynaha la doortay ay u diideen farriimo ay Joe Biden usoo direen hogaamiyeyaasha dalalka kale ee caalamka, kuwaas oo ay ahayd in loo gudbiyo Joe Biden, maadaama ay isaga u socdeen."
40,96,"Suuqa madow carruurta Kenya: Maxaa hooyadan ku qasbay in canuggeeda ay £70 ku iibiso?. Bishii la soo dhaafay, qeybta baaritaannada ee BBC Africa Eye, ayaa daaha ka qaadday suuq madow oo carruurta lagu kala iibsado oo ku yaalla caasimadda Kenya, Nairobi Booliiska ayaa markii sheekadan la baahiyay ka dib xiray toddoba qof oo lagu eedeeyay in ay carruurta ka ganacsadaan, balse waa sidee xaaladda haweenka kale ee ku shaqada leh heshiisyadaas sharci darrada ah? Maxaa ku kallifaya hooyo in ay cunuggeeda ku iibiso £70? Nolosha Adama way fududeyd markii ay la joogeen waaliddiinteeda, sida ay sheegtay."
41,92,"Gaaska qosolka iyo halistiisa caafimaad. Gaaska qosolka oo haddii aad jiiddo ama nuugto kaa qoslinaya ayaa loo adeegsadaa siyaabo kala duwan, waxaa ka mid ah dhanka caafimaadka oo ay dhaqaatiirtu u adeegsadaan inay ku suuxiyaan bukaanka, warashada cuntada oo u isticmaala waxyaabo ay ka mid yihiin kareemka cuntada iyo kuwa kale Balse gaaskan fudud oo aan lagu ogeyn halis hore ayey dadku u adeegsadaan siyaabo kale oo ay ka mid yihiin meelaha xafladaha ah iyaga oo nuugaya ka dibna qosol la dhacaya, waana taas sababta keentay in la ogaado inuu leeyahay halis caafimaad oo xataa dhimasho ah."
42,82,"Sababta aan ugu maleeyay in canugeyga uu lahaa indho sheyddaan"". Catherine Cho waxay la kulantay dhibaato weyn oo xitaa welwel iyo la yaab ku reebtay qoyskeeda gaar ahaan markii ay dhaleysay wiilkeeda Kato, Waxay markaas ku sugnaayeen Mareykanka, Catherine Cho iyo seygeeda James waxay ahaayeen kuwo welwelsan markii ay la safreen canugooda oo 2 bilood dhallanaa Catherine waxay ka shakeysay waxyaabihii la yaabka ahaa ee iyadu u muuqday kuwaas oo xannuun ku reebay , arrintaas oo aysan waxbo kala socon qoyskeeda balse seygeedana jahwareer ku reebay."
43,75,"Kenya oo shaacisay shuruudaha ay ciidamadeeda uga saareyso Soomaaliya. Wasiirka Gaashaandhigga Kenya, Monica Juma, oo wareysi siisay Wargeyska Nation ee saldhiggiisu yahay magaalada Nairobi, ayaa faahfaahin ka bixisay sababaha ku xiran in milatariga Kenya ee ku sugan Soomaaliya laga soo saaro Juma ayaa meesha ka saartay warar dhawaanahanba la isla dhex marayay oo ku saabsanaa in Kenya ay qorsheyneyso sidii ay ciidankeeda uga soo saari lahayd Soomaaliya, waxayna sharraxaad ka bixisay shuruudaha ku xidhan tallaabo noocaas ah."
44,94,"Ilhaan Cumar oo dalbatay in la baadho arrin lagu sameeyay muslimiin xabsi ku jira. Xildhibaanno ay hoggaamineyso Ilhan Cumar, oo ka tirsan Aqalka Wakiillada Mareykanka, ayaa warqad u qoray Waaxda Amniga Gudaha, iyagoo ka dalbaday in baadhitaan lagu sameeyo dhacdo ku saabsan dad muslimiin ah oo xabsiga dhexdiisa lagu siiyay hilib doofaar Falkan waxaa ku kacay Ciidamada Ka hortagga Qaxootiga iyo Canshuur ka qaadista badeecooyinka lasoo dhoofiyo (ICE), sida lagu qeexay war-saxaafadeed ay si wadajir ah ugu saxiixnaayeen wakiillada Aqalka Congress-ka ee kala ah Ilhan Omar, Rashida Tlaib iyo Andre Carson.."
45,48,"Waxay noqotay gabadhi ugu horreysay oo dhakhtar ka noqoto qoys seddex jiil qaxooti soo ahaa. ""Gabdha badan oo bulshadayada ka tirsan waxaa dhiirragelisay guusheyda Ilmaha yaryar marka ay yimaaddaan goobteyda shaqada waxay yirahdaan waxaan dooneynaa inaa kuugu dayanno dhakhtarna aan noqonno,"" ayey tiri Dr Saliima Raxmaan."
46,85,"Cameron Herrin: Gabdho Soomaaliyeed oo ka muraara dillaacsan ""Quruxlowgii xabsiga lagu xukumay"". Gabdhaha Soomaaliyeed qaarkood, iyo kuwa kale ee caalamka ayaa baraha bulshada aad uga hadal haya nin dhallinyaro ah oo maxkamad ku taalla dalka Mareykanka ay ku xukuntay xabsi muddo dheer kaddib markii uu shil gaari dad ku dilay Cameron Herrin, oo sanadkii 2018 isaga oo 18 jir ah waday gaariga nooca Ford Mustang ayaa hooyo iyo gabadheeda ku jiirsiiyay gaarigaasi xaafadda Bayshore Boulevard dalka Mareykanka, waxaana Khamiistii lagu xukumay 24 sano oo xabsi ah."
47,72,"Xisbiga Jamhuuriga oo isku khilaafay soo jeedinta xil ka qaadista madaxweyne Trump. Xisbiga Jamhuuriga ee madaxweyne Donald Trump ayaa aad ugu kala qeybsamay xil ka qaadistii ay soo jeediyeen aqalka Kongreska ee Mareykanka kadib markii toban xildhibaan oo kamid ah xisbigiisa ay u codeeyeen in xilka laga qaado Liz Cheney, oo katirsan xisbiga Jamhuuriga, ahna qofka saddexaad ee ugu sarreeya xubnaha Jamhuuriga ee aqalka Kongreska ayaa la kulmeysa cadaadis ah inay iska casisho xubinimada xisbiga kadib markii ay taageertay xil ka qaadista Trump."
48,83,"Gabadh soo saartay shanlo cusub oo dhiirogalin u noqotay dumarka Afrikaanka ah. Haweenay soo saartay shanlo cusub oo loogu talogalay timaha dumarka Afrikaanka ah ayaa doonaysa in dumarka da'da yar ee Afrikaanka in ay ku dhiirogaliso in galaan xirfadaha injineeriyadda, ""Waxaan jeclaan lahaa markii aan yaraa in ay wax I barto haweenay madoow ah"" ayay tiri Yumna Maxamed, oo ku dhaqan magaalada Swansea ee UK Waxa ay dhowaan heshay aqoonsiga Akadeemiyadda Boqortooyada ee injineeriyadda, iyada oo laga caawinayo in ay sii horumariso wax soo saarkeeda shanlada."
49,70,"Ciidamada ilaalada madaxweynaha Kenya oo laga mamuucay cunista jaadka. Dhammaan kooxda ilaalada u ah madaxweynaha Kenya, Uhuru Kenyatta, ayaa laga mamnuucay inay cunaan jaadka, sida ay shaaciyeen saddexda wargeys ee ugu waaweyn waddanka ee kala ah Daily Nation, The Star iyo Standard Amarkan waxaa soo saaray taliyaha ciidanka ilaalada madaxweynaha, George Kirera, oo sheegay in cunista qaadka aysan askarta waardiyeysa madaxweynaha caafimaadkooda kaliya waxyeello ku ahayn balse ay dhibaateyneyso qoysaskooda."
